date,time,percent,value
2026-08-13,08:30,2.60,5000
2026-08-13,08:40,2.48,7000
2026-08-13,08:50,2.35,9500
2026-08-13,09:00,2.23,12000
2026-08-13,09:40,1.78,18000
2026-08-13,10:00,1.87,22000
2026-08-13,10:05,1.45,23536
2026-08-13,10:15,1.22,23766
2026-08-13,10:25,0.75,25493
2026-08-13,10:35,0.70,26640
2026-08-13,10:45,0.84,27629
2026-08-13,10:55,0.28,28226
2026-08-13,11:10,0.95,28369
2026-08-13,11:20,0.98,28746
2026-08-13,11:30,0.90,30189
2026-08-13,11:40,0.94,30324
2026-08-13,11:50,0.94,30398
2026-08-13,12:00,0.98,30807
2026-08-13,12:10,1.08,31180
2026-08-13,12:20,1.03,31324
2026-08-13,12:26,1.64,31662
2026-08-13,12:41,1.59,32025
2026-08-13,12:50,1.59,32015
2026-08-13,13:05,1.59,32041
2026-08-13,13:15,1.69,33152
2026-08-13,13:26,1.69,33204
2026-08-13,13:35,1.69,33521
2026-08-13,13:45,2.07,34699
2026-08-13,13:55,2.25,34910
2026-08-13,14:05,2.25,35077
2026-08-13,14:15,2.20,35240
2026-08-13,14:25,2.15,35420
2026-08-13,14:35,2.10,35610
2026-08-13,14:45,2.05,35810
2026-08-13,14:55,2.00,36020
2026-08-13,15:00,1.98,36130
