Fecha y hora,Símbolo de la acción,Tipo de orden,Estado,Acciones completadas,Acciones pendientes,Precio por acción,Total invertido,Valor comisión,Total estimado
"14 ago 2026, 9:38 a. m.",NUCO,Venta,Aprobado,10,0,47520,475200,7437.5,467762.5
"13 ago 2026, 2:02 p. m.",NUCO,Venta,Aprobado,190/190,0,43640,8291600,12333.755,8279266.245
"13 ago 2026, 1:59 p. m.",NUCO,Venta,Cancelado,0,0,43700,8303000,0,8303000
"13 ago 2026, 9:52 a. m.",NUCO,Venta,Cancelado,0,0,44100,8379000,0,8379000
"13 ago 2026, 9:42 a. m.",NUCO,Venta,Cancelado,0,0,44200,8398000,0,8398000
"12 ago 2026, 2:27 p. m.",NUCO,Compra,Aprobado,200,0,42740,8548000,12715.15,8560715.15
"2 jun 2026, 2:25 p. m.",GRUPOARGOS,Venta,Aprobado,100,0,16200,1620000,14875,1605125
"6 may 2026, 1:44 p. m.",GEB,Venta,Aprobado,5200/5200,0,3090,16068000,47802.3,16020197.7
"26 feb 2026, 1:22 p. m.",TERPEL,Venta,Aprobado,200,0,19500,3900000,7437.5,3892562.5
"23 feb 2026, 10:12 a. m.",ECOPETROL,Venta,Aprobado,370,0,2365,875050,7437.5,867612.5
"18 feb 2026, 1:00 p. m.",EXITO,Venta,Aprobado,500,0,4950,2475000,7437.5,2467562.5
"4 feb 2026, 1:52 p. m.",NUCO,Venta,Aprobado,50,0,62300,3115000,7437.5,3107562.5
"13 ene 2026, 12:50 p. m.",ECOPETROL,Compra,Aprobado,370,0,2065,764050,7437.5,771487.5
"13 ene 2026, 12:49 p. m.",PFDAVVNDA,Compra,Cancelado,0,0,25500,2550000,0,2550000
"13 ene 2026, 12:39 p. m.",GRUPOARGOS,Compra,Aprobado,93,0,17620,1638660,7437.5,1646097.5
"13 ene 2026, 12:38 p. m.",EXITO,Compra,Aprobado,500,0,4535,2267500,7437.5,2274937.5
"13 ene 2026, 12:35 p. m.",TERPEL,Compra,Aprobado,200,0,19400,3880000,7437.5,3887437.5
"13 ene 2026, 12:34 p. m.",NUCO,Compra,Aprobado,50,0,60520,3026000,7437.5,3033437.5
"8 ago 2025, 1:19 p. m.",ISA,Venta,Aprobado,400/400,0,21581.6,8632640,12841.052,8619798.948
"6 ago 2025, 6:21 a. m.",CEMARGOS,Venta,Cancelado,0,0,10600,5300000,0,5300000
"6 ago 2025, 6:20 a. m.",GRUPOSURA,Venta,Cancelado,0,0,44900,493900,0,493900
"1 ago 2025, 11:31 a. m.",GRUPOARGOS,Compra,Cancelado,0,0,16500,6517500,0,6517500
"1 ago 2025, 8:58 a. m.",CEMARGOS,Venta,Aprobado,500,0,10860,5430000,8077.125,5421922.875
"1 ago 2025, 8:57 a. m.",GRUPOSURA,Venta,Aprobado,11/11,0,45763.63636363636,503400,7437.5,495962.5
"17 jul 2025, 2:13 p. m.",GEB,Compra,Aprobado,5200/5200,0,3073.2115384615386,15980700,23771.291,16004471.291
"17 jul 2025, 10:50 a. m.",GEB,Compra,Cancelado,0,0,3020,17304600,0,17304600
"16 jul 2025, 2:37 p. m.",ISA,Venta,Aprobado,200/200,0,20356.2,4071240,7437.5,4063802.5
"10 jul 2025, 9:23 a. m.",PFCORFICOL,Compra,Cancelado,0,0,15500,3100000,0,3100000
"10 jul 2025, 9:12 a. m.",EXITO,Venta,Aprobado,1000,0,3175,3175000,7437.5,3167562.5
"10 jul 2025, 9:10 a. m.",CORFICOLCF,Compra,Cancelado,0,0,16900,3380000,0,3380000
"25 jun 2025, 11:01 a. m.",PFCIBEST,Venta,Aprobado,200,0,45600,9120000,13566,9106434
"10 jun 2025, 2:42 p. m.",ISA,Compra,Aprobado,101,0,19500,1969500,7437.5,1976937.5
"10 jun 2025, 2:41 p. m.",CEMARGOS,Venta,Aprobado,100,0,10680,1068000,7437.5,1060562.5
"10 jun 2025, 9:30 a. m.",EXITO,Compra,Aprobado,1000,0,2835,2835000,7437.5,2842437.5
"10 jun 2025, 9:29 a. m.",CEMARGOS,Venta,Aprobado,150,0,10580,1587000,7437.5,1579562.5
"6 jun 2025, 2:57 p. m.",EXITO,Compra,Cancelado,0,0,3018.6,1509300,0,1509300
"6 jun 2025, 2:50 p. m.",CEMARGOS,Compra,Aprobado,350,0,10680,3738000,7437.5,3745437.5
"4 jun 2025, 12:54 p. m.",PFCIBEST,Venta,Cancelado,0,0,45100,9020000,0,9020000
"3 jun 2025, 2:11 p. m.",CEMARGOS,Compra,Aprobado,400,0,10440,4176000,7437.5,4183437.5
"3 jun 2025, 2:08 p. m.",PFCIBEST,Venta,Aprobado,100,0,44360,4436000,7437.5,4428562.5
"27 may 2025, 2:31 p. m.",ISA,Compra,Aprobado,62,0,19540,1211480,7437.5,1218917.5
"27 may 2025, 12:59 p. m.",ISA,Compra,Aprobado,200,0,19720,3944000,7437.5,3951437.5
"27 may 2025, 12:57 p. m.",PFCIBEST,Venta,Aprobado,66,0,43560,2874960,7437.5,2867522.5
"26 may 2025, 9:19 a. m.",ISA,Compra,Aprobado,237,0,20380,4830060,7437.5,4837497.5
"22 may 2025, 9:55 a. m.",PFCIBEST,Compra,Aprobado,66,0,42760,2822160,7437.5,2829597.5
"20 may 2025, 10:56 a. m.",PFCIBEST,Venta,Cancelado,0,0,45600,13680000,0,13680000
"19 may 2025, 12:44 p. m.",PFCIBEST,Compra,Aprobado,300,0,43600,13080000,19456.5,13099456.5
"29 abr 2025, 9:42 a. m.",ISA,Compra,Cancelado,0,0,17000,16167000,0,16167000
